iter	Passed	Remaining
1640	8492	17384
1641	8498	17379
1642	8503	17374
1643	8508	17368
1644	8512	17361
1645	8517	17356
1646	8521	17347
1647	8526	17342
1648	8529	17333
1649	8533	17324
1650	8536	17316
1651	8541	17310
1652	8546	17305
1653	8551	17298
1654	8556	17293
1655	8561	17288
1656	8565	17280
1657	8569	17273
1658	8573	17265
1659	8579	17263
1660	8583	17254
1661	8588	17248
1662	8594	17245
1663	8597	17236
1664	8601	17227
1665	8605	17220
1666	8610	17215
1667	8614	17207
1668	8618	17201
1669	8622	17193
1670	8626	17185
1671	8629	17177
1672	8633	17169
1673	8638	17163
1674	8643	17158
1675	8647	17149
1676	8652	17145
1677	8656	17137
1678	8659	17128
1679	8662	17119
1680	8667	17112
1681	8671	17106
1682	8675	17099
